бұл әмбебап дағдыларды дамытудың қажеттілігіне алып келеді .	this leads to the need to develop universal skills .	0.898485
іс-шара дүниежүзілік қоршаған ортаны қорғау күніне орай ұйымдастырылды .	the event is timed to world habitat day .	0,33
2023 жылға дейін барлық қаржыландыру көздері арқылы 319 көп қабатты үй ( 20 794 пәтер немесе 2 109,3 мың м2 ) салу жоспарланған .	the engineering networks have been stretched to these neighborhoods .	0,35
жыл соңына дейін қанша жол жөнделеді , қай жолдар ақылы болады және олардың сапасын кім тексереді - с . бармақовпен сұхбат	these countries together consume 60.1 % of kazakhstan processed goods .	0,35
конкурсқа қатысудың міндетті шарты - ұбт-ның шекті баллын жинау .	a prerequisite for participation in the competition is the presence of a threshold unified national testing score .	0,35
оның айтуынша , энергетикалық кәсіпорындар отынды келісімшарт бойынша бекітілген кестеге сәйкес сатып алады .	fuel supply of energy sources is also carried out according to schedules .	0,35
әсіресе , оның бас киімі тәңіршілдік сенімнің айқын көрінісін білдіреді .	you can also see some artifacts of that era .	0,35
бүгінде статистика комитеті апта сайынғы негізде әр сейсенбі сайын әлеуметтік маңызы бар азық-түлік тауарларына бағаларды жинақтау жұмыстарын жүргізеді .	to date , the committee on statistics on a weekly basis on tuesdays collects prices of socially significant food products .	0,36
есік қорғанынан табылған заттар арасында ежелгі жазба ескерткіштерінің бірі руна жазумен жазылған жазбасы бар күміс тостағанның экспозициядан алар орны ерекше .	a special place in the exposition is occupied by the silver bowl with the inscription made in the runic script found among the finds of the mound of issyk - one of the oldest written records found on this territory .	0,36
сонымен қатар тр премьер-министрі кохир расулзодамен үкіметаралық келіссөздер өтті .	in addition , intergovernmental negotiations were held on the prospects for expanding mutually beneficial multi-dimensional partnership .	0,37
сонымен қатар жергілікті билік орындарына тұрғындар мен автокөлік құралдарының темір жолды күнделікті әрі қауіпсіз кесіп өтуіне байланысты ағымдағы мәселелерді шешу тапсырылды .	in addition , local authorities were instructed to resolve current issues related to the daily and safe crossing of the railway by residents and vehicles .	0,37
бізге қазіргі заманғы сын-тегеуріндер мен еңбек нарығындағы жылдам өзгерістерге сай келетін кәсіптік стандарттар мен білім беру бағдарламалары қажет .	we need professional standards and educational programs that meet modern challenges and rapid changes in the labor market .	0,37
бұл түркістан облысында қырыққабат өндірісінің артуымен байланысты .	food production increased by 1.2 % .	0,38
1960-жылдардың соңы мен 1970-жылдардың басында алматының маңайында танымал археолог кемал ақышев зерттеп жүрген есік қорғанынан , кейін қазақстанның символына айналған , сақ патшасы - " алтын адамның " сүйегі табылған археологиялық сенсация орын алды .	at the exhibition in the epigraphic museum of athens , you can see the reconstruction of the golden man in clothes embroidered with gold plaques , in a special conical headdress decorated with gold plates in the form of golden arrows , snow leopards , argali , horses and birds , and a collection of archaeological finds from the early era of the iron age ( v - iv centuries bc ) that accompanied the burial of this noble saka young warrior ( according to archaeologists his age is 17-18 years ) .	0,38
27 анықтаманы талап етуді жою бойынша жұмыстар жүргізілуде ( а . жұмағалиев )	peasant farms 5 % of 1 mw , starting from january 1 , 2020 , contributions can be made in advance for 3 , 6 or 12 months .	0,38
а . маминнің солтүстік қазақстан облысына жұмыс сапары : жаңа өндірістердің іске қосылуы және иид мб жүзеге асырылуы	according to him , today citizens can see the status of insurance on the fund 's website , as well as in a telegram bot , where you can even ask questions .	0,38
бізге арыс қаласын шұғыл қалпына келтіру бойынша барлық күш-жігерімізді жұмылдыру қажет .	we need to make every effort for the rapid restoration of arys .	0,38
30 жастағы ақтөбелік бизнесмен ақш-та тәжірибе алмасу мақсатында көптеген жерлерде жұмыс жасады .	the businesswoman gained experience in this area , working in the usa .	0,38
а . мамин еаэо аясында мобильді операторлардың роумингін кезең-кезеңмен алып тастау бойынша бірлескен жоспарды әзірлеп , іске асыруды ұсынды .	mamin suggested developing and implementing a joint plan for phasing out the roaming of mobile operators within the eaeu .	0,39
осы тайпалардың үлкен үш тобының қатарында " алтын адам " жерленген есік қорғаны табылған аймақта тұрған сақ-тиграхаудтар ( " шошақ бөріктілер " ) бар болатын .	among the three large groups of these tribes were sax-tigrahauts located in the burial zone of issyk-kurgan , where the golden warrior was buried .	0,39
отырардағы музейді қалпына келтіріп , ішіндегі жәдігерлерді жөндеуіміз керек .	it is necessary to restore the museum exhibits .	0,39
шағын несие беру жай ғана аз пайызбен ақша тарату болмауы керек .	the provision of microloans should not be a simple distribution of money at a low interest rate .	0,39
үаааж жобасын қаржылық жабуға қол жеткізу нәтижелері бойынша жобаны іске асыру тетігі туралы мәселе қаралады .	based on the results of achieving financial closure for the bakad project , the issue of the project implementation mechanism will be considered .	0,39
а . маминнің солтүстік қазақстан облысына жұмыс сапары : жаңа өндірістердің іске қосылуы және иид мб жүзеге асырылуы	in shymkent , mamin got acquainted with the state of the engineering infrastructure of the badam housing estate ( 195th quarter ) , about which the school teacher gulnaz abdirova addressed the nur otan party .	0,39
алматы облысының қарасай ауданының тұрғыны базаркелді анисов қабылдауға " ақсеңгір - шамалған " темір жол өтпесінде көпір салу туралы өтінішімен жүгінді .	bazarkeldi anisov , a resident of the karasai district of almaty region , came to the reception office with a request to build a bridge at the aksengir-shamalgan railway crossing .	0,39
бердібек сапарбаев қарағанды облысына жұмыс сапары барысында мобильді жұмыспен қамту орталықтарының тәжірибесімен танысты .	berdibek saparbayev also got acquainted with the experience of mobile employment centers .	0,39
кәсіподақтар федерациясының төрағасы ералы тоғжанов өз кезегінде еңбек қатынастарын одан әрі жетілдіру бойынша ұсыныстар туралы баяндама жасады .	chairman of the federation of trade unions eraly tugzhanov , in turn , made proposals for further improving labor relations .	0,39
алматы облысының әкімі а . баталов пен нұр-сұлтан қ. әкімі а . көлгінов заң жобасының ережелерін педагогикалық қоғамдастық өкілдерімен талқылау туралы баяндады .	akim of almaty region amandyk batalov and nur-sultan altai kulginov reported on the discussion of the provisions of the draft law with representatives of the pedagogical community .	0,39
мұнда шатыры жөнделіп , терезелері орнатылды , кейбір нысандарда косметикалық жөндеу жұмыстарын жүргізуге қалды	roofs and windows have been installed there , some cosmetic repair remains to be done .	0,39
қр мқіа төрағасының орынбасары резервтегі азаматтар лауазымдарға қалай тағайындалатынын түсіндірді .	the deputy chairman explained how reservists would be appointed .	0,39
бұл жұмыстардың нәтижелерін бес әуе желісінің арасындағы айырмашылықты аңғарған соң көруге болады , " - деді п . фостер .	minister of energy kanat bozumbayev reported on the production of aviation fuel and its price .	0,39
табыстарды әкімшілендіруде негізгі назар бұзушылықтардың жоғарғы тәуекеліне ұшырайтын салық төлеушілерге аударылды .	revenue administration focused on taxpayers who are at high risk of irregularities .	0,40
осыған байланысты парламент мәжілісінің бір топ депутаттары қарызды еңбек мәселелерін реттеу бойынша қр заң жобасын әзірлеу туралы бастама көтерді .	and today , a group of deputies of the majilis of the parliament initiated the development of a draft law of the republic of kazakhstan on regulation of issues of contingent labor .	0,40
атырау қаласынан келген кәсіпкер өтеміс жұмағалиев " атырау - нұр-сұлтан " бағыты бойынша әуе билеттерінің құнын төмендету туралы мәселені көтерді .	entrepreneur utemis zhumagaliyev from atyrau raised the issue of reducing the cost of air tickets on the atyrau-nur-sultan route .	0,40
қр премьер-министрі а . маминнің семейге жұмыс сапары : 2025 жылға дейінгі қаланы дамыту жоспары және абайдың 175 жылдығына дайындық	the decrease in coal production at major coal-mining enterprises is associated with a reduction in the consumption of coal products by power plants .	0,40
ежелгі дала өнерінің маңызды ерекшелігі саналатын зооморфтық бейнелердің басымдығы да мифологиялық ойлау өлшемдерімен белгіленеді .	the most important feature of the ancient art of the steppe is the dominance of zoomorphic images - the so-called " animal style , " the distinctive features of which are the stylized images of totem animals , scenes of fighting animals , endowed with magical functions .	0,40
импорт алмастыру шаралары ішкі нарықты 100 % отандық өніммен қамтамасыз етеді ( с . омаров )	in principle , this is a very good indicator for the insurance system .	0,40
қр премьер-министрі а . маминнің семейге жұмыс сапары : 2025 жылға дейінгі қаланы дамыту жоспары және абайдың 175 жылдығына дайындық	in addition , for any questions regarding health insurance , kazakhstanis can contact the fund 's contact center at 1406 .	0,40
қр премьер-министрі асқар мамин " родина " агрофирмасының жұмысы мысалында аөк-тің дамуымен танысты	" the republic of kazakhstan is one of the main trading partners of kyrgyzstan .	0,41
қр үкіметінің басшысы асқар маминнің павлодар облысына жұмыс сапары : өңірдің индустриялық-инновациялық дамуы және инфрақұрылымдық жобаларды іске асыру	following the meeting , the signing of documents on the projects dunga and abay took place .	0,41
вице-премьер семейдегі жедел медициналық жәрдем ауруханасында бірегей ангиографиялық құрылғымен жасақталған гибридті операция жасау бөлімінің жұмысымен танысты .	the deputy prime minister also visited the semey emergency hospital , where a hybrid operating room with a unique angiographic unit was opened .	0,41
қазақстанда туризм саласын дамыту туралы сұхбат : шетелдіктерді не қызықтырады және қай өңір экотуризм бойынша көш басында	if this year about 1 trillion tenge was collected , then next year we expect financing of medical services up to 1.5 trillion tenge , " the chairman said .	0,41
мал шаруашылығы өнімдерінің өндірісін артыру үшін ет пен сүт өндірісінің көлемін арттыруды көздейтін ұзақ мерзімді салалық бағдарламалар бектілген .	to ensure the growth of livestock products , long-term industry programs have been approved to increase the production of meat and milk .	0,41
қр премьер-министрінің бірінші орынбасары - қаржы министрінің айтуынша , басым міндеттердің бірі - квазимемлекеттік сектордан қайтарымды арттыру .	according to him , the priority is to increase the return on the quasi-public sector .	0,41
ежелгі дала өнерінің маңызды ерекшелігі саналатын зооморфтық бейнелердің басымдығы да мифологиялық ойлау өлшемдерімен белгіленеді .	the most important feature of the ancient art of the steppe is the dominance of zoomorphic images - the so-called " animal style , " the distinguishing features of which are stylized images of totem animals , animal fighting scenes endowed with magical functions .	0,41
өңірлер бекітіліген секторларындағы нысандарды қалпына келтіру жұмыстарын аталған мерзім ішінде толығымен аяқтауды қамтамасыз етуі тиіс .	regions must ensure the full completion of restoration of facilities in approved sectors during the specified period .	0,41
тек отандық әзірлеушілер енетін сенім білдірілген өнім тізілімінде болуы алдын ала біліктілік іріктеуге кірудің негізгі критерийі болып табылады .	the main criterion for entering the preliminary qualification selection is the presence in the register of trusted products , which includes only domestic developers .	0,42
сонымен қатар , кәсіби шыңдалу үшін перинаталды орталықтың дәрігерлері литва қаласындағы оқуға барады .	a trip of perinatal center doctors to vocational training in lithuania is planned .	0,42
түркістан облысы қазығұрт ауданы майлыошақ ауылында а . мамин жылдам әзірленетін тамақ өнімдерін өндіретін зауыттың ашылу рәсіміне қатысты .	in the village of maylyoshak , kazygurt district , turkestan region , mamin attended the opening ceremony of the factory for the production of fast food products .	0,42
ғылыми онкологиялық орталық астыңғы қабатын қоса алғанда 6 қабаттан тұрады .	the center has six floors , including the basement .	0,42
қолөнер туындыларының арасында киіз өнімдерін ерекше атаған жөн .	folk art is the past living in the present .	0,42
есік қорғанынан табылған заттар арасында ежелгі жазба ескерткіштерінің бірі руна жазумен жазылған жазбасы бар күміс тостағанның экспозициядан алар орны ерекше .	among the finds found in the issyk barrow , one of the oldest written monuments has a special place in the exposition of a silver bowl with the inscription rune .	0,42
аталған жоба туралы толығырақ " қазақтелеком " ақ басқарма төрағасы қ . есекеев айтып берді .	the chairman of the board of kazakhtelecom jsc kuanyshbek yessekeyev reported on this project in more detail .	0,42
көрмеден киімі алтын жапсырмалы және жебе , қар барысы , арқар , жылқы және құс түріндегі алтын тілімшелер әшекейлеп тұрған конус пішінді ерекше бас киімді алтын адамның реконструкциясын және осы жас ақ сүйек сақ жауынгерімен ( археологтардың пікірлері бойынша 17-18 жастар шамасында ) бірге жерленген ерте темір ғасырының ( б.д.д v-iv ғғ . ) археологиялық олжаларының коллекциясын тамашалауға болады .	as part of a large-scale project , the exhibition was held with great success in the museums of belarus , russia , azerbaijan , china , poland , south korea and uzbekistan , malaysia , and turkey .	0,42
бұл үрдістер экспозицияға қойылған xv ғасырға тән деп даталанған сайрам көмбесінен табылған зергерлік өнер бұйымдарынан айқын байқалады .	these trends are clearly expressed in the finds from the sairam treasure , which are represented in the exhibition by jewelry items dating from the 15th century .	0,42
баспана алудың ашықтығы мен бірыңғай жүйелік есепке алуды қамтамасыз ету үшін кезекте тұрғандардың бірыңғай республикалық базасы енгізілуде .	to ensure the transparency of housing and a unified system of accounting , the unified republican waiting list is being introduced .	0,42
орталықта 12-18 жас аралығындағы балалар заманауи технологияларды қолдана отырып , ат-саласындағы жұмыстарға оқытылады .	the center teaches children from 12 to 18 years old working in the it field using modern technologies .	0,42
импортқа қосылған құн салығын толық өндіріп алу үшін көлік пен жүктердің өту мониторингі жүзеге асырылуда .	the movement of transport and goods is monitored to ensure the full collection of import vat .	0,42
осы жылдың шілдесінде " қазавтожол " ұк " ақ ақылы жүйені енгізуге инвестициялық конкурс жариялады .	in july 2019 , jsc kazavtozhol national company announced an investment competition for the introduction of payment .	0,42
бұл жағдайда негізгі өзекті мәселе - мемлекетімізде қарызды еңбек заңнамалық тұрғыдан реттелмеуі .	the main problem is the lack of legislative regulation of labor in the country .	0,42
ол үшін ірімшік өнімдері , құс еті , шұжық өнімдері және т.б. өнімдер нарығындағы өнімдердің бұрмалануы мәселесін шешу қажет .	to do this , you need to deal with the counterfeit that is present on the market .	0,42
жобаларды қаржыландыру инвесторлардың өз қаражаты есебінен де , екінші деңгейлі банктер мен " қазагро " холдингінің еншілес компаниялары арқылы да жүзеге асырылуда .	project financing is carried out both at the expense of investors ' own funds and with the attraction of funds from second-tier banks and subsidiaries of kazagro holding .	0,42
христиандық пен мұсылмандықтың орнығуына қарай " аң стилі " біртіндеп пұтқа табынушылық пен түсініктен шығатын бастапқы мәнін жоғалта бастады .	with the adoption of christianity and islam , the animal style gradually lost its original meaning , dating back to pagan beliefs and ideas .	0,43
сондай-ақ , бала күтімімен айналысатын анаға бала үш жасқа толғаннан кейін жұмыспен қамтудың белсенді шараларына қатысу құқығын беру ұсынылады .	it is also proposed that a mother who cares for a child obtain the right to participate in active employment after the child is three years old .	0,43
бұл үрдістер экспозицияға қойылған xv ғасырға тән деп даталанған сайрам көмбесінен табылған зергерлік өнер бұйымдарынан айқын байқалады .	these processes are clearly manifested in jewelry discovered in the sairam burial ground dating back to the 15th century , characteristic of the exposition .	0,43
сонымен қатар , жеке компаниялардың ең төменгі жалақы алатын жұмысшыларының жалақысы арттырылды .	the wages of low-income workers in private companies have been increased .	0,43
27 анықтаманы талап етуді жою бойынша жұмыстар жүргізілуде ( а . жұмағалиев )	in general , there is a growth in the volume of cargo transportation by all modes of transport by 3.7 % .	0,43
грант иегерлерінің тізімін әкімдіктер жергілікті бұқаралық ақпарат құралдарында жариялайды .	lists of grant holders will be published by akimats in local media .	0,43
бір мезетте өтініштер сапасын бағалау сервисі енгізіледі .	at the same time , a service will be introduced to assess the quality of consideration of applications .	0,43
қр премьер-министрі а . маминнің семейге жұмыс сапары : 2025 жылға дейінгі қаланы дамыту жоспары және абайдың 175 жылдығына дайындық	" if we talk about the number of conditionally insured , then according to our estimation , this is approximately 95 % of the total number .	0,43
қр премьер-министрінің бірінші орынбасары - қаржы министрі әлихан смайылов орталық және жергілікті органдар тарапынан мемлекеттік сатып алулар рәсімдерін уақытылы аяқтаудың маңыздылығын атап өтті .	alikhan smailov noted the importance of timely completion of public procurement procedures by central and local authorities .	0,43
кешенді жоспардың негізгі бағыттары мен іс-шаралары туралы шымкент қаласының әкімі ғ . әбдірахымов баяндады .	the main directions and measures of the complex development plan were presented by the city akim of shymkent gabigulla abdrakhimov .	0,43
өзінің сайлауалды бағдарламасында қ.к. тоқаев қр мемлекеттік қызмет істері жөніндегі агенттік алдына президенттік жастар кадрлық резервін қалыптастыру туралы міндет қойды .	in his election program , kassym-jomart tokayev set the task for the agency of the republic of kazakhstan for civil service affairs to form the presidential youth personnel reserve .	0,43
күріш бағасының өсуі өзбекстан мен түрікменстан тарапынан қазақстандық күрішке сұраныстың өсуіне байланысты байқалады .	rice prices are rising due to increased demand for kazakhstani rice from uzbekistan and turkmenistan .	0,44
astana hub технопаркіндегі жұмыс көлемінің артуы бағдарламалардың инвестициялық тартымдылығы мен жоғары қызығушылыққа ие екенін дәлелдейді .	the investment attractiveness and high level of interest in the programs of the technopark are also demonstrated by its workload .	0,44
жарылыс салдарынан қатты зардап шеккен секторлардың бірін атырау облысы өз мойнына алды .	the atyrau region took one of the sectors most affected by the explosion .	0,44
" бастау бизнес " жобасы бойынша кәсіпкерлік негіздеріне 1300-ден астам адам оқытылды .	under the bastau business project , more than 1,300 people have been trained in the basics of entrepreneurship .	0,44
оқу сыныптарын алдыңғы қатарлы технологиялармен жабдықтау оқушыларға болашақ мамандықтарының дағдыларын дамытуға мүмкіндік береді .	equipping classrooms with advanced technologies will allow students to develop the skills of future professions .	0,44
ағымдағы жылдың шілдесінде веб-порталда тапсырыс берушілер мен өнім берушілерге тауарлардың шығуы туралы сертификаттарды , оның ішінде ст-kz сертификаттарын енгізбей актіге қол қоюға мүмкіндік бермейтін форматтық-логистикалық бақылау орнатылған .	in july 2019 , a format-logical control was established on the web portal , which does not allow customers and suppliers to sign acts without entering certificates of origin of goods , including st-kz certificates .	0,44
шымкент қаласын дамытудың кешенді жоспарының негізгі бағыттары мен іс-шаралары туралы қала әкімі ғ . әбдірахымов баяндады .	the city akim gabigulla abdrakhimov reported on the main directions and activities of the complex development plan .	0,44
жұмыс сапары аясында қр премьер-министрінің орынбасары бердібек сапарбаев пен атырау облысының әкімі нұрлан ноғаев өңір жұртшылығымен кездесті .	within the framework of the working trip , berdibek saparbayev and the akim of the atyrau region nurlan nogayev met with the community of the region .	0,44
" толқын " спорт мектебінің шатыры күрделі жөндеу жұмыстарын талап етеді .	tolkyn sports school needs overhaul of the roof .	0,44
өткізілген мемлекеттік сатып алу мониторингінің нәтижелері бойынша имидждік іс-шараларға сатып алудың ең көп сомасы жергілікті бюджеттерге тиесілі болды .	according to the results of the monitoring of conducted public procurements for 2019 , the largest amount of purchases for image events fell on local budgets .	0,44
жұмыссыздар мен өзін-өзі жұмыспен қамтыған азаматтарды жұмысқа орналастыруға жәрдемдесу шаралары " еңбек " мемлекеттік бағдарламасы аясында іске асырылады .	enbek state program also provides for measures to promote the employment of unemployed and self-employed citizens , which will be implemented in vocational education organizations , short-term education and through the bastau business project .	0,44
бүгінде болжамды сақтандырылмаған азаматтар дербес төлеуші ретінде жүйеге қатыса алады .	citizens who are not currently predictably insured will be able to become participants in the system as independent payers .	0,45
ерекше қажеттіліктері бар балалардың ата-аналарына да жақын арада елеулі қолдау көрсетіледі .	parents of children with special needs will soon receive tangible support .	0,45
" бір тұрғынға шаққандағы баспанамен қамтамасыз етілу көрсеткіші 21,9 шаршы метрге жетті .	" the indicator of housing provision per resident has reached 21.9 sq.m.	0,45
құрылыс жұмыстары тағы 4504 жеке тұрғын үй құрылысы мен көпқабатты тұрғын үй нысандарында жүргізілуде .	the works are carried out at 4,504 facilities of individual housing and apartment buildings .	0,45
құрылыс жұмыстары тағы 4225 жеке тұрғын үй құрылысы мен көпқабатты тұрғын үй нысандарында жүргізілуде .	the works are carried out at 4,225 facilities of individual housing and apartment buildings .	0,45
еңбек қауіпсіздігі талаптарын бұзғаны үшін 47 лауазымды тұлға жұмысынан босатылды ( б . нұрымбетов )	the portal will be interesting for importers of kazakhstani products , who can find potential exporters , suppliers of kazakhstani products on this portal , " said egemberdiyeva .	0,45
кен орындарындағы экологиялық қауіпсіздікті қамтамасыз етуге , табиғи ресурстарды қорғауға ерекше көңіл бөлу тапсырылды .	it was entrusted to pay special attention to ensuring environmental safety and respect for natural resources in the development of deposits .	0,45
шикізат пен қосалқы бөлшектердің жекелеген түрлеріне импорттық кеден бажын уақытша төмендету бойынша бірқатар шешімдер қабылданды .	a number of decisions were made to temporarily reduce the import customs duty on certain types of raw materials and spare parts .	0,45
цифрлық даму , инновациялар және аэроғарыш өнеркәсібі министрі бүгінгі таңда жергілікті биліктің қолдауымен еліміздің аймақтарында ат-хабтар ашылып жатқанын айтты .	the minister noted that today there is a trend in opening of it hubs in the regions with the support of local authorities .	0,45
келесі үлкен жоба - мемлекеттік органдардың интернет ресурстарының бірыңғай платформасы ( мо ирбп ) .	the next big project is the unified platform for internet resources of government agencies .	0,45
